SCORE ES;auto;ES;KI-Analyse old;MS;LS;KI-Analyse
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
