index,LS,ES,MS
131,N2,Wake,N1
132,N2,Wake,N1
135,N1,Wake,N2
136,N1,Wake,N2
138,N2,Wake,N1
139,N2,Wake,N1
154,N2,Wake,N1
161,N2,Wake,N1
174,N2,N1,Wake
189,N2,Wake,N1
201,N2,Wake,N1
206,N2,Wake,N1
209,N2,Wake,N1
212,N2,Wake,N1
218,N2,Wake,N1
223,N2,Wake,N1
228,N2,Wake,N1
241,N2,Wake,N1
244,N2,Wake,N1
247,N2,Wake,N1
251,N2,Wake,N1
254,N2,Wake,N1
266,N2,Wake,N1
268,N2,Wake,N1
271,N2,Wake,N1
275,N2,Wake,N1
277,N2,Wake,N1
293,N2,Wake,N1
304,N2,Wake,N1
307,N2,Wake,N1
311,N2,Wake,N1
313,N2,Wake,N1
345,N2,Wake,N1
347,N2,Wake,N1
364,N2,Wake,N1
375,N2,Wake,N1
457,N1,Wake,N2
458,N1,Wake,N2
459,N1,Wake,N2
460,N1,Wake,N2
465,N1,Wake,N2
472,N2,Wake,N1
475,N2,Wake,N1
477,N2,Wake,N1
478,N2,Wake,N1
480,N2,Wake,N1
489,N2,Wake,N1
492,N2,Wake,N1
501,N2,Wake,N1
506,N2,Wake,N1
508,N2,Wake,N1
515,N2,Wake,N1
517,N2,Wake,N1
522,N2,Wake,N1
526,N2,Wake,N1
529,N2,Wake,N1
532,N2,Wake,N1
538,N2,Wake,N1
539,N2,Wake,N1
543,N2,Wake,N1
566,N1,Wake,N2
569,N1,Wake,N2
571,N2,Wake,N1
572,N2,Wake,N1
575,N2,Wake,N1
576,N2,N1,Wake
578,N1,Wake,N2
583,N2,Wake,N1
585,N2,Wake,N1
587,N2,Wake,N1
592,N2,Wake,N1
596,N2,Wake,N1
604,N1,Wake,N2
605,N2,Wake,N1
638,N1,Wake,N2
639,N1,Wake,N2
640,N1,Wake,N2
642,N2,Wake,N1
645,N2,Wake,N1
648,N2,Wake,N1
650,N2,Wake,N1
652,N2,Wake,N1
660,N2,Wake,N1
661,N2,Wake,N1
663,N2,Wake,N1
664,N2,Wake,N1
666,N2,Wake,N1
668,N2,Wake,N1
680,N2,Wake,N1
684,N2,Wake,N1
688,N2,Wake,N1
700,N2,Wake,N1
701,N2,Wake,N1
711,N2,Wake,N1
713,N2,Wake,N1
724,N2,Wake,N1
741,N2,Wake,N1
748,N2,Wake,N1
758,N2,Wake,N1
762,N2,Wake,N1
765,N2,Wake,N1
840,Rem,Wake,N1
841,Rem,Wake,N2
842,Rem,Wake,N2
843,Rem,N1,N2
854,Rem,N1,N2
855,Rem,N1,N2
856,Rem,Wake,N1
857,Rem,Wake,N1
858,Rem,N1,N2
859,Rem,N1,N2
939,N2,Wake,N1
